Ticker,Open,High,Low,Close,ChangePercent-1,ChangePercent-2,RangeNet,RangePercent,RangePercent-1,RangePercent-2,WeekdayNum,Weekday,target
_SPXD,1211.92,1217.9,1200.3,1202.08,0,0,17.6,0,0,0,2,2_Mon,No
_SPXD,1202.08,1205.84,1185.39,1188.05,0,0,20.45,1.7,0,0,3,3_Tue,No
_SPXD,1188.05,1192.75,1183.72,1183.74,-1.17,0,9.03,0.76,1.7,0,4,4_Wed,No
_SPXD,1183.74,1191.63,1183.23,1187.89,-0.36,-1.17,8.4,0.71,0.76,1.7,5,5_Thu,No
_SPXD,1187.89,1192.2,1182.11,1186.19,0.35,-0.36,10.09,0.85,0.71,0.76,6,6_Fri,No
_SPXD,1186.19,1194.78,1184.8,1190.25,-0.14,0.35,9.98,0.84,0.85,0.71,2,2_Mon,No
_SPXD,1190.25,1190.25,1180.43,1182.99,0.34,-0.14,9.82,0.83,0.84,0.85,3,3_Tue,No
_SPXD,1182.99,1187.98,1175.64,1187.7,-0.61,0.34,12.34,1.04,0.83,0.84,4,4_Wed,No
_SPXD,1187.7,1187.7,1175.61,1177.45,0.4,-0.61,12.09,1.02,1.04,0.83,5,5_Thu,No
_SPXD,1177.45,1185.21,1177.45,1184.52,-0.86,0.4,7.76,0.66,1.02,1.04,6,6_Fri,No
_SPXD,1184.52,1195.98,1180.1,1195.98,0.6,-0.86,15.88,1.34,0.66,1.02,3,3_Tue,Yes
_SPXD,1195.98,1195.98,1184.37,1184.63,0.97,0.6,11.61,0.97,1.34,0.66,4,4_Wed,No
_SPXD,1184.63,1184.63,1173.39,1175.41,-0.95,0.97,11.24,0.95,0.97,1.34,5,5_Thu,No
_SPXD,1175.41,1179.55,1167.82,1167.87,-0.78,-0.95,11.73,1,0.95,0.97,6,6_Fri,No
_SPXD,1167.87,1173.17,1163.75,1163.75,-0.64,-0.78,9.42,0.81,1,0.95,2,2_Mon,No
_SPXD,1163.75,1174.3,1163.75,1168.41,-0.35,-0.64,10.55,0.91,0.81,1,3,3_Tue,No
_SPXD,1168.41,1175.99,1168.41,1174.07,0.4,-0.35,7.58,0.65,0.91,0.81,4,4_Wed,Yes
_SPXD,1174.07,1177.5,1170.15,1174.55,0.48,0.4,7.35,0.63,0.65,0.91,5,5_Thu,Yes
_SPXD,1174.55,1175.63,1166.3,1171.36,0.04,0.48,9.33,0.79,0.63,0.65,6,6_Fri,No
_SPXD,1171.36,1182.07,1171.36,1181.27,-0.27,0.04,10.71,0.91,0.79,0.63,2,2_Mon,No
_SPXD,1181.27,1190.39,1180.95,1189.41,0.85,-0.27,9.44,0.8,0.91,0.79,3,3_Tue,Yes
_SPXD,1189.41,1195.25,1188.92,1193.19,0.69,0.85,6.33,0.53,0.8,0.91,4,4_Wed,Yes
_SPXD,1193.19,1193.19,1185.63,1189.89,0.32,0.69,7.56,0.63,0.53,0.8,5,5_Thu,No
_SPXD,1189.89,1203.47,1189.67,1203.03,-0.28,0.32,13.8,1.16,0.63,0.53,6,6_Fri,No
_SPXD,1203.03,1204.15,1199.27,1201.72,1.1,-0.28,4.88,0.41,1.16,0.63,2,2_Mon,No
_SPXD,1201.72,1205.11,1200.16,1202.3,-0.11,1.1,4.95,0.41,0.41,1.16,3,3_Tue,No
_SPXD,1202.3,1203.83,1191.54,1191.99,0.05,-0.11,12.29,1.02,0.41,0.41,4,4_Wed,No
_SPXD,1191.99,1198.75,1191.54,1197.01,-0.86,0.05,7.21,0.6,1.02,0.41,5,5_Thu,No
_SPXD,1197.01,1208.38,1193.28,1205.3,0.42,-0.86,15.1,1.26,0.6,1.02,6,6_Fri,Yes
_SPXD,1205.3,1206.93,1203.59,1206.14,0.69,0.42,3.34,0.28,1.26,0.6,2,2_Mon,Yes
_SPXD,1206.14,1212.44,1205.52,1210.12,0.07,0.69,6.92,0.57,0.28,1.26,3,3_Tue,Yes
_SPXD,1210.12,1212.44,1205.06,1210.34,0.33,0.07,7.38,0.61,0.57,0.28,4,4_Wed,Yes
_SPXD,1210.34,1211.33,1200.74,1200.75,0.02,0.33,10.59,0.87,0.61,0.57,5,5_Thu,No
_SPXD,1200.75,1202.92,1197.35,1201.59,-0.79,0.02,5.57,0.46,0.87,0.61,6,6_Fri,No
_SPXD,1201.59,1202.48,1184.16,1184.16,0.07,-0.79,18.32,1.52,0.46,0.87,3,3_Tue,No
_SPXD,1184.16,1193.52,1184.16,1190.8,-1.45,0.07,9.36,0.79,1.52,0.46,4,4_Wed,No
_SPXD,1190.8,1200.42,1187.8,1200.2,0.56,-1.45,12.62,1.06,0.79,1.52,5,5_Thu,Yes
_SPXD,1200.2,1212.15,1199.61,1211.37,0.79,0.56,12.54,1.04,1.06,0.79,6,6_Fri,Yes
_SPXD,1211.37,1211.37,1198.13,1203.6,0.93,0.79,13.24,1.09,1.04,1.06,2,2_Mon,No
_SPXD,1203.6,1212.25,1203.6,1210.41,-0.64,0.93,8.65,0.72,1.09,1.04,3,3_Tue,No
_SPXD,1210.41,1215.79,1204.22,1210.08,0.57,-0.64,11.57,0.96,0.72,1.09,4,4_Wed,No
_SPXD,1210.08,1215.72,1204.45,1210.47,-0.03,0.57,11.27,0.93,0.96,0.72,5,5_Thu,No
_SPXD,1210.47,1224.76,1210.47,1222.12,0.03,-0.03,14.29,1.18,0.93,0.96,6,6_Fri,Yes
_SPXD,1222.12,1229.11,1222.12,1225.31,0.96,0.03,6.99,0.57,1.18,0.93,2,2_Mon,Yes
_SPXD,1225.31,1225.69,1218.57,1219.43,0.26,0.96,7.12,0.58,0.57,1.18,3,3_Tue,No
_SPXD,1219.43,1219.43,1206.66,1207.01,-0.48,0.26,12.77,1.05,0.58,0.57,4,4_Wed,No
_SPXD,1207.01,1211.23,1201.41,1209.25,-1.02,-0.48,9.82,0.81,1.05,0.58,5,5_Thu,No
_SPXD,1209.25,1213.04,1198.15,1200.08,0.19,-1.02,14.89,1.23,0.81,1.05,6,6_Fri,No
_SPXD,1200.08,1206.83,1199.51,1206.83,-0.76,0.19,7.32,0.61,1.23,0.81,2,2_Mon,No
_SPXD,1206.83,1210.54,1197.75,1197.75,0.56,-0.76,12.79,1.06,0.61,1.23,3,3_Tue,No
_SPXD,1197.75,1197.75,1185.61,1188.07,-0.75,0.56,12.14,1.01,1.06,0.61,4,4_Wed,No
_SPXD,1188.07,1193.28,1186.34,1190.21,-0.81,-0.75,6.94,0.58,1.01,1.06,5,5_Thu,No
_SPXD,1190.21,1191.98,1182.78,1189.65,0.18,-0.81,9.2,0.77,0.58,1.01,6,6_Fri,No
_SPXD,1189.65,1189.65,1178.82,1183.78,-0.05,0.18,10.83,0.91,0.77,0.58,2,2_Mon,No
_SPXD,1183.78,1189.59,1171.63,1171.71,-0.49,-0.05,17.96,1.52,0.91,0.77,3,3_Tue,No
_SPXD,1171.71,1176.26,1168.7,1172.53,-1.02,-0.49,7.56,0.65,1.52,0.91,4,4_Wed,No
_SPXD,1172.53,1180.11,1171.42,1171.42,0.07,-1.02,8.69,0.74,0.65,1.52,5,5_Thu,No
_SPXD,1171.42,1179.91,1171.42,1174.28,-0.09,0.07,8.49,0.72,0.74,0.65,2,2_Mon,No
_SPXD,1174.28,1179.39,1163.69,1165.36,0.24,-0.09,15.7,1.34,0.72,0.74,3,3_Tue,No
_SPXD,1165.36,1181.54,1165.36,1181.41,-0.76,0.24,16.18,1.39,1.34,0.72,4,4_Wed,No
_SPXD,1181.41,1184.53,1179.49,1180.59,1.38,-0.76,5.04,0.43,1.39,1.34,5,5_Thu,No
_SPXD,1180.59,1189.8,1169.91,1172.92,-0.07,1.38,19.89,1.68,0.43,1.39,6,6_Fri,No
_SPXD,1172.79,1178.61,1167.72,1176.12,-0.65,-0.07,10.89,0.93,1.68,0.43,2,2_Mon,No
_SPXD,1176.12,1183.56,1176.12,1181.39,0.27,-0.65,7.44,0.63,0.93,1.68,3,3_Tue,Yes
_SPXD,1181.39,1189.34,1181.39,1184.07,0.45,0.27,7.95,0.67,0.63,0.93,4,4_Wed,Yes
_SPXD,1184.07,1191.88,1183.81,1191.14,0.23,0.45,8.07,0.68,0.67,0.63,5,5_Thu,Yes
_SPXD,1191.14,1191.75,1181.13,1181.2,0.6,0.23,10.62,0.89,0.68,0.67,6,6_Fri,No
_SPXD,1181.2,1184.07,1178.69,1181.21,-0.83,0.6,5.38,0.46,0.89,0.68,2,2_Mon,No
_SPXD,1181.21,1190.17,1170.85,1187.76,0,-0.83,19.32,1.64,0.46,0.89,3,3_Tue,Yes
_SPXD,1187.76,1187.76,1171.4,1173.79,0.55,0,16.36,1.38,1.64,0.46,4,4_Wed,No
_SPXD,1173.79,1174.67,1161.7,1162.05,-1.18,0.55,12.97,1.1,1.38,1.64,5,5_Thu,No
_SPXD,1162.05,1162.05,1141.92,1142.62,-1,-1.18,20.13,1.73,1.1,1.38,6,6_Fri,No
_SPXD,1142.62,1148.92,1139.8,1145.98,-1.67,-1,9.12,0.8,1.73,1.1,2,2_Mon,No
_SPXD,1145.98,1154.67,1145.98,1152.78,0.29,-1.67,8.69,0.76,0.8,1.73,3,3_Tue,Yes
_SPXD,1152.78,1155.5,1136.15,1137.5,0.59,0.29,19.35,1.68,0.76,0.8,4,4_Wed,No
_SPXD,1137.5,1159.95,1137.5,1159.95,-1.33,0.59,22.45,1.97,1.68,0.76,5,5_Thu,No
_SPXD,1159.95,1159.95,1142.95,1152.12,1.97,-1.33,17,1.47,1.97,1.68,6,6_Fri,No
_SPXD,1152.12,1164.05,1152.12,1162.1,-0.68,1.97,11.93,1.04,1.47,1.97,2,2_Mon,No
_SPXD,1162.1,1164.8,1151.74,1151.74,0.87,-0.68,13.06,1.12,1.04,1.47,3,3_Tue,No
_SPXD,1151.74,1159.87,1144.42,1156.38,-0.89,0.87,15.45,1.34,1.12,1.04,4,4_Wed,No
_SPXD,1156.38,1156.38,1143.22,1143.22,0.4,-0.89,13.16,1.14,1.34,1.12,5,5_Thu,No
_SPXD,1143.22,1156.97,1139.19,1156.85,-1.14,0.4,17.78,1.56,1.14,1.34,6,6_Fri,No
_SPXD,1156.85,1162.87,1154.71,1162.16,1.19,-1.14,8.16,0.71,1.56,1.14,2,2_Mon,Yes
_SPXD,1162.16,1166.89,1156.71,1161.17,0.46,1.19,10.18,0.88,0.71,1.56,3,3_Tue,No
